query_id,query_text,relevant_doc_count,dated_relevant_doc_count,missing_date_relevant_doc_count,earliest_relevant_published_date,latest_relevant_published_date,all_relevant_docs_by_window_start,all_relevant_docs_by_march_end,all_relevant_docs_by_april_end,all_relevant_docs_by_may_end
980a8949538c372771a8e07536e98ddd,influenza 2020 up to date,2,2,0,2021-01-01,2021-06-09,True,True,True,True
35bb643809f197b68021794ad8ad1319,"drug use, family, adolescent, relationship",7,7,0,1999-01-01,2021-01-01,True,True,True,True
1200cc678dce697633576f9941994baa,psychology human behavior,13,13,0,1995-05-01,2020-07-03,True,True,True,True
38a5737828cd22eb5c45c3fbe66340d5,design of sewage treatment plant,7,6,1,2012-05-11,2020-06-30,True,True,True,True
5a027ebb79a4b16c5ecb16737c2fec26,first-generation students,8,8,0,2018-01-01,2020-03-31,True,True,True,True
f9ae0f99d7403b40d78e3d3d103d6a1c,freedom of speech,1,1,0,2020-03-09,2020-03-09,True,True,True,True
e8ebed4fee9260028923885e9eb9a242,literacy and community,7,7,0,1999-01-01,2020-01-01,True,True,True,True
7028b649b77f6ca3ff7b4170b9c27658,informal settlements and waste disposal,2,2,0,2017-01-01,2020-01-01,True,True,True,True
35e64efe49a5eb9b5f9ee7e7464352fc,personal goals,7,7,0,2014-01-01,2019-10-01,True,True,True,True
9415292a51163e822f6347f57cdfd762,the impact of ai-generated art to the creativity of special program in the arts,1,1,0,2019-07-11,2019-07-11,True,True,True,True
cf5992cd1306b7aa71afb466b25f8195,stress management,10,9,1,2001-06-01,2019-07-01,True,True,True,True
fefe337967a82517f54ffed125c4b843,cultural intelligence,1,1,0,2019-01-01,2019-01-01,True,True,True,True
b6e83d494701496aabe6a6b0f308dbd5,manhattan project,3,3,0,2005-12-01,2019-01-01,True,True,True,True
a64207e4bf8ec20e09918f9831197c50,history and memory,5,5,0,2010-01-01,2019-01-01,True,True,True,True
9c6556134c7d06548f65d0e363b69f44,leisure activities,6,3,3,2014-01-01,2018-04-14,True,True,True,True
82cd19fadb27746d99d5e6d818097910,effect lime and silica on compaction test,2,2,0,2016-01-01,2018-01-01,True,True,True,True
30c3ebbc6708a3454d82f9a8c11796fa,memory and history,6,6,0,2005-10-01,2018-01-01,True,True,True,True
838027a4fcf857b3d4ddfeebf94faad6,literature review of antenatal assessment,2,2,0,2013-01-22,2017-11-01,True,True,True,True
34761729cc3fd73195d5840b733ca362,automation,18,10,8,1974-01-01,2017-09-21,True,True,True,True
25affb391b5a4052cc6750a79fd6162f,proper generalized decomposition,1,1,0,2017-06-01,2017-06-01,True,True,True,True
e54f68f74633d43b86d0247af6197544,mark twain,12,12,0,1869-01-01,2017-02-11,True,True,True,True
d540f26d75ef66d68559ad827a280fd9,benefits and drawbacks of telecommunication,2,2,0,2010-01-01,2017-01-01,True,True,True,True
504ba8f0091eef715f16ccbb63ed5ac9,sadat commitment of the armed forces,9,9,0,1995-09-01,2017-01-01,True,True,True,True
38323ace1b617b418f533f54c09c7228,teacher engagement,1,1,0,2017-01-01,2017-01-01,True,True,True,True
0b155c7fdc95ddd69962e106dfaed576,wagner soldier,9,9,0,1985-01-20,2017-01-01,True,True,True,True
f559875a4f4af463696bfef04c775147,diaspora,12,9,3,2004-07-07,2016-07-01,True,True,True,True
ba1277eed48fe5fc09db5513b8c4be8b,the sufi as the axis of the world:,1,1,0,2016-01-01,2016-01-01,True,True,True,True
4eb1811f5597cbb51193ff49c7d79af9,bilingual education,2,2,0,2009-03-03,2013-11-30,True,True,True,True
40a8df88721f3a9f1363c47c7d996d5e,civil engineering,6,5,1,1941-01-01,2013-11-10,True,True,True,True
910db656ed939dbb0b017843db25e2b5,foreign aid,11,1,10,2013-09-01,2013-09-01,True,True,True,True
343570543e89b17f992e31c939eb8baf,school bullying,4,3,1,2011-04-01,2012-09-19,True,True,True,True
b2dd7a2e85f350103e0ad22796fb9b0a,cognitive coping mechanisms local literature,1,1,0,2012-01-01,2012-01-01,True,True,True,True
27d5a858b54377ad38312dc515812683,teenage pregnancy,1,1,0,2010-01-01,2010-01-01,True,True,True,True
d950d245c679cd89b456268c50b717f4,investigating learning preferences of students,1,1,0,2009-01-01,2009-01-01,True,True,True,True
